token,frequency,token_preprocessed
امتلأت,3,امتلأت
بالتشاؤم,1,بالتشاؤم
الخلطة,1,الخلطة
الثنائية,8,الثنائية
واولاد,3,واولاد
ينزف,3,ينزف
بإنصاف,1,بإنصاف
بالمقاطعه,2,بالمقاطعه
نهوض,3,نهوض
وبيشرف,2,وبيشرف
صورتها,6,صورتها
عيلاء,2,عيلاء
ودومة,2,ودومة
ونكسجيه,2,ونكسجيه
أنتوي,2,أنتوي
المقبلةلمزيد,1,المقبلةلمزيد
ومهرك,1,ومهرك
نؤط,1,نؤط
يتخطى,5,يتخطى
ويتصدر,5,ويتصدر
تحليلاته,1,تحليلاته
السهلة,3,السهلة
قربته,1,قربته
والشكوك,2,والشكوك
معلوماته,2,معلوماته
جعلته,2,جعلته
مقولاته,1,مقولاته
الادب,10,الادب
لحقها,1,لحقها
الضياع,4,الضياع
بتاعنا,6,بتاعنا
استغفرك,1,استغفرك
ربى,5,ربى
افترسها,1,افترسها
بشؤوننا,1,بشؤوننا
وتحرض,2,وتحرض
تستنزف,2,تستنزف
طاقاتها,1,طاقاتها
وتهدر,1,وتهدر
والخير,12,والخير
ولاه,1,ولاه
الالاام,1,الالاام
والاحزان,2,والاحزان
أونيل,2,أونيل
بتألق,2,بتألق
حارسه,1,حارسه
راندولف,6,راندولف
وقاد,2,وقاد
للتعادل,14,للتعادل
المؤمرات,4,المؤمرات
متوالية,1,متوالية
بأساليب,3,بأساليب
أسست,2,أسست
حاضنة,4,حاضنة
تدريبها,2,تدريبها
مسميات,2,مسميات
مؤتمرات,13,مؤتمرات
عرضالدراسة,1,عرضالدراسة
بالقضايا,4,بالقضايا
موقفك,10,موقفك
المصالحه,8,المصالحه
ورؤيتك,1,ورؤيتك
والملف,1,والملف
وعبر,8,وعبر
يتاح,2,يتاح
ليكتمل,11,ليكتمل
عاااااااااااجلالسيد,1,عاااااااااااجلالسيد
عصافير,2,عصافير
بحجر,6,بحجر
شابو,2,شابو
شرعيتين,1,شرعيتين
استحقاق,1,استحقاق
انتخابي,6,انتخابي
هيفتح,4,هيفتح
vote,3,vote
هيظهر,2,هيظهر
اغتلتم,1,اغتلتم
سيناريو,19,سيناريو
بفرصة,5,بفرصة
صدقت,18,صدقت
كذوب,5,كذوب
ستنفضحون,1,ستنفضحون
جذور,2,جذور
هالامور,1,هالامور
بقطر,7,بقطر
بإن,3,بإن
بيقدم,4,بيقدم
استقالته,12,استقالته
وبيخلي,2,وبيخلي
فالمظاهرات,1,فالمظاهرات
تجر,2,تجر
جدعه,1,جدعه
ياشرين,1,ياشرين
كنتى,2,كنتى
مكنوش,2,مكنوش
وقفولك,1,وقفولك
بالنسبالي,12,بالنسبالي
خيالية,8,خيالية
بحاملات,1,بحاملات
كحك,1,كحك
وحلاوة,1,وحلاوة
ومتخليش,1,ومتخليش
تحصيل,23,تحصيل
خطفت,1,خطفت
الاقوال,1,الاقوال
ماتنسي,1,ماتنسي
ساب,6,ساب
لقبرص,8,لقبرص
عوم,3,عوم
وغرقه,1,وغرقه
قزم,2,قزم
قائدة,3,قائدة
وسيعود,3,وسيعود
مغشوشه,2,مغشوشه
منايام,1,منايام
عمالته,2,عمالته
اجازة,5,اجازة
وايش,5,وايش
المخانبث,1,المخانبث
بالمونديال,5,بالمونديال
مستحق,6,مستحق
يعطيها,3,يعطيها
أهدافي,1,أهدافي
وصداقات,1,وصداقات
وحديثي,1,وحديثي
جمبهم,1,جمبهم
برايكم,1,برايكم
لإلقاء,1,لإلقاء
البارزة,1,البارزة
تداعيات,14,تداعيات
النصف,7,النصف
بحلقة,2,بحلقة
منازلة,2,منازلة
مقارعته,2,مقارعته
فرد,13,فرد
صلابة,3,صلابة
وإصرار,1,وإصرار
والرأي,6,والرأي
والتأويلات,1,والتأويلات
والفتن,11,والفتن
مهزأه,1,مهزأه
بتذيع,1,بتذيع
بتبقي,3,بتبقي
للمنافس,1,للمنافس
اعصابنا,3,اعصابنا
Wael,1,Wael
Abbas,1,Abbas
Thor,2,Thor
مستوحى,1,مستوحى
المتطرفينبقلمي,1,المتطرفينبقلمي
وتصميمي,1,وتصميمي
تشيلي,7,تشيلي
خروجها,4,خروجها
مغنيه,1,مغنيه
زلة,3,زلة
ومحاكمتش,1,ومحاكمتش
باعوا,24,باعوا
غمضة,1,غمضة
وحبست,1,وحبست
بتسيير,1,بتسيير
الموقوفين,7,الموقوفين
بصحيفتك,1,بصحيفتك
اموركم,1,اموركم
الكتاكيت,1,الكتاكيت
هينجح,5,هينجح
Liverpool,8,Liverpool
واستدعاء,1,واستدعاء
اضيقت,1,اضيقت
هشجعهاا,1,هشجعهاا
بادة,3,بادة
الالف,2,الالف
عبقريته,1,عبقريته
وزعامته,1,وزعامته
للعااااااالم,1,للعااااااالم
المسافة,1,المسافة
بوازع,1,بوازع
اواصر,1,اواصر
تربطه,1,تربطه
ودوله,3,ودوله
تستثمر,1,تستثمر
الأغطية,1,الأغطية
والملابس,2,والملابس
المستعملة,1,المستعملة
وشراء,6,وشراء
الجزر,30,الجزر
المعني,2,المعني
لثورات,15,لثورات
المناضلين,1,المناضلين
وصلتك,1,وصلتك
اختصها,1,اختصها
للنواب,1,للنواب
وثبتهم,1,وثبتهم
وحسبى,1,وحسبى
خطط,20,خطط
وتشتيت,2,وتشتيت
لفرضت,1,لفرضت
التجويع,1,التجويع
والامتيازات,1,والامتيازات
إلابعد,1,إلابعد
عجيب,12,عجيب
راحوا,10,راحوا
بتحالف,1,بتحالف
دق,8,دق
خشومهم,2,خشومهم
وحاولوا,2,وحاولوا
هزمتهم,1,هزمتهم
اقزام,3,اقزام
قدامها,1,قدامها
ينتظرهم,1,ينتظرهم
لأسود,9,لأسود
اطلس,1,اطلس
ونسور,2,ونسور
قرطاج,32,قرطاج
حشدوا,1,حشدوا
نفثوا,1,نفثوا
بداخل,2,بداخل
أحشائهم,1,أحشائهم
سموم,2,سموم
تغلبت,1,تغلبت
إيطالي,6,إيطالي
يثرب,1,يثرب
ينسجم,2,ينسجم
بمعالجة,1,بمعالجة
العواصم,3,العواصم
للنقاش,3,للنقاش
كاساتشوف,1,كاساتشوف
نفرتيتي,1,نفرتيتي
الموظفين,6,الموظفين
الحكوميين,2,الحكوميين
روتينهم,1,روتينهم
أوظلمهم,1,أوظلمهم
بيبدأ,1,بيبدأ
تدريجي,1,تدريجي
وهتفضل,3,وهتفضل
غرقانه,1,غرقانه
وتوزع,1,وتوزع
مايسوي,4,مايسوي
وبرضوه,1,وبرضوه
الصالح,9,الصالح
تطير,5,تطير
Shams46,3,Shams46
الصادقه,1,الصادقه
جابوها,1,جابوها
بالسمبك,1,بالسمبك
الرويبضه,1,الرويبضه
دراكولا,1,دراكولا
سياسين,2,سياسين
يستطيعون,4,يستطيعون
معاجم,1,معاجم
شيشه,2,شيشه
كتيبتين,2,كتيبتين
والتوفيق,2,والتوفيق
لأحلي,1,لأحلي
929389239426568192,1,929389239426568192
927914138650730496,1,927914138650730496
سوءا,4,سوءا
وتهورا,4,وتهورا
928179045438763008,1,928179045438763008
شواهين,1,شواهين
السيلية,2,السيلية
الخور,2,الخور
927925517935939584,1,927925517935939584
927068693128994816,1,927068693128994816
للافكار,1,للافكار
الطموحة,2,الطموحة
928904969465495552,1,928904969465495552
خيرمايعطي,1,خيرمايعطي
السائلينوأن,1,السائلينوأن
يغفرل,1,يغفرل
ولوالدي,1,ولوالدي
ولجميع,5,ولجميع
وملائكته,2,وملائكته
آمنوا,1,آمنوا
صلوا,4,صلوا
وسلموا,1,وسلموا
تسليمااللهم,1,تسليمااللهم
صل,15,صل
929370336994430977,1,929370336994430977
931911900551671808,1,931911900551671808
930819109985700992,1,930819109985700992
مزنوقه,1,مزنوقه
حلقها,1,حلقها
بططرشها,1,بططرشها
تغريدتهم,1,تغريدتهم
ارحمونا,3,ارحمونا
929769723730029952,1,929769723730029952
تريزجيه,5,تريزجيه
حصد,3,حصد
932081031963914240,1,932081031963914240
الناشطين,6,الناشطين
930181915797225472,1,930181915797225472
معذرةفما,1,معذرةفما
كيفيرى,1,كيفيرى
أزمةالخليج,1,أزمةالخليج
929065170504179713,1,929065170504179713
WorldScienceDay,2,WorldScienceDay
930899118716841985,1,930899118716841985
التاهل,16,التاهل
تأهلوا,3,تأهلوا
ناهل,1,ناهل
931898111097737217,1,931898111097737217
الحجم,5,الحجم
وتشافت,1,وتشافت
أشوفها,1,أشوفها
راجعة,1,راجعة
يشفيها,1,يشفيها
929728293204611073,1,929728293204611073
العريجا,1,العريجا
حيوحشنا,122,حيوحشنا
اكرامي,6,اكرامي
امتنا,5,امتنا
متماسكه,1,متماسكه
وكلمتها,1,وكلمتها
المسيره,3,المسيره
وهتعدي,2,وهتعدي
هزمناهم,2,هزمناهم
جذوره,3,جذوره
سيرتد,2,سيرتد
مؤاخذة,3,مؤاخذة
بتنتقد,1,بتنتقد
لفة,2,لفة
للموسيقار,1,للموسيقار
يفهمنا,2,يفهمنا
العاق,2,العاق
لفبراير,1,لفبراير
والوريث,1,والوريث
رشاد,2,رشاد
علاقتنا,3,علاقتنا
أيش,2,أيش
مصريةمن,1,مصريةمن
والملكية,1,والملكية
والسيادة,1,والسيادة
فجزيرة,1,فجزيرة
كورسيكا,1,كورسيكا
خربوا,9,خربوا
انفض,1,انفض
شاطرين,3,شاطرين
233,4,233
للحضور,3,للحضور
ومليون,4,ومليون
مخطوف,13,مخطوف
داعس,4,داعس
الاوهابية,1,الاوهابية
وتنازل,5,وتنازل
بانهما,1,بانهما
الغلاء,4,الغلاء
الفاحش,3,الفاحش
مكرر,2,مكرر
تدميره,2,تدميره
بمحاصرة,1,بمحاصرة
وشللهم,1,وشللهم
يتخبطون,1,يتخبطون
تسمعه,1,تسمعه
انين,1,انين
الحازمين,1,الحازمين
ماعلينا,4,ماعلينا
وينتهي,3,وينتهي
بالدوحة,1,بالدوحة
الاشقاء,4,الاشقاء
تربطني,2,تربطني
هادا,3,هادا
CIES,2,CIES
العالماكبر,1,العالماكبر
للبطاله,2,للبطاله
مصران,1,مصران
بيبص,3,بيبص
للحرفي,1,للحرفي
والصنايعي,1,والصنايعي
والعاملنظره,1,والعاملنظره
دنيويه,1,دنيويه
ومالهمش,1,ومالهمش
برستيجمع,1,برستيجمع
الوظايف,2,الوظايف
مازحا,1,مازحا
هتف,2,هتف
للفريقين,3,للفريقين
قاصمة,10,قاصمة
فجاء,7,فجاء
بنتفرج,11,بنتفرج
بنلاعب,5,بنلاعب
إكرامي,7,إكرامي
بإنجاز,6,بإنجاز
ابتسام,3,ابتسام
الكتبي,2,الكتبي
للسياسات,1,للسياسات
واللهب,1,واللهب
مرةو,1,مرةو
السودانلكن,1,السودانلكن
هيهاتلا,1,هيهاتلا
رحمهلا,1,رحمهلا
سلميهفقط,1,سلميهفقط
خروجك,2,خروجك
موتك,3,موتك
مرحب,3,مرحب
يازول,2,يازول
البلنشكر,1,البلنشكر
حفظة,5,حفظة
اللهوصاحب,1,اللهوصاحب
العهدالأمير,1,العهدالأمير
اللهعلى,1,اللهعلى
بالابل,1,بالابل
وتفعيل,2,وتفعيل
الشعبيالسعودي,1,الشعبيالسعودي
وعاصفة,1,وعاصفة
وتصفية,3,وتصفية
تعززان,1,تعززان
بأمان,3,بأمان
ماتم,3,ماتم
اعرفوا,1,اعرفوا
تنسوهم,1,تنسوهم
شرطتنا,2,شرطتنا
وجيشنا,1,وجيشنا
بمجهوده,1,بمجهوده
دية,2,دية
الاضطرابات,3,الاضطرابات
والممثل,1,والممثل
الإقليمى,1,الإقليمى
الاغذية,1,الاغذية
تقودها,2,تقودها
للماشية,1,للماشية
والدواجن,1,والدواجن
والمعدات,3,والمعدات
لكنا,3,لكنا
خياري,1,خياري
باحث,12,باحث
بختام,11,بختام
سمعتيشي,1,سمعتيشي
لدندراوي,1,لدندراوي
إتخذت,1,إتخذت
وممر,1,وممر
وملجأ,1,وملجأ
GHANA,1,GHANA
1vs1,1,1vs1
EYGIPT,1,EYGIPT
أياب,3,أياب
الشامسي,3,الشامسي
رجولى,1,رجولى
للترشحانا,1,للترشحانا
تبعيات,1,تبعيات
المتسرع,1,المتسرع
التأمل,1,التأمل
الألسنة,1,الألسنة
تأكيده,1,تأكيده
هنأ,3,هنأ
يكتبه,1,يكتبه
لخدماته,1,لخدماته
فلدينا,1,فلدينا
وفرة,2,وفرة
يسمونهم,3,يسمونهم
بعلماء,1,بعلماء
بأكبر,3,بأكبر
اكذوبة,7,اكذوبة
يالقرضاوي,1,يالقرضاوي
وعاظ,1,وعاظ
تنظيمك,1,تنظيمك
بمؤامرة,4,بمؤامرة
المستهدفين,1,المستهدفين
لغيرك,9,لغيرك
إرجع,3,إرجع
لجادة,1,لجادة
واعترف,3,واعترف
بدولنا,2,بدولنا
وري,2,وري
وضدهم,1,وضدهم
زعزعة,3,زعزعة
MARCIV,1,MARCIV
CAN2017,1,CAN2017
civmar,1,civmar
lions,1,lions
roadtorussia2018,1,roadtorussia2018
بتطهير,4,بتطهير
جماعي,3,جماعي
الأمد,3,الأمد
أزاح,4,أزاح
محسومه,3,محسومه
لقايمه,1,لقايمه
بلادة,1,بلادة
يخرجوا,5,يخرجوا
ينطقون,2,ينطقون
الهندوراس,25,الهندوراس
سوفتور,1,سوفتور
بأت,1,بأت
عبري,2,عبري
فمازال,1,فمازال
يحاكموا,3,يحاكموا
معتصم,7,معتصم
وماهينور,1,وماهينور
اتأجلت,1,اتأجلت
جلستها,3,جلستها
Dec,1,Dec
لبنات,2,لبنات
بيحبوش,1,بيحبوش
بيخافوا,3,بيخافوا
ياعسكر,1,ياعسكر
بغارات,1,بغارات
اللوفر,28,اللوفر
تأهلي,1,تأهلي
ارضه,16,ارضه
أفيال,1,أفيال
بهدفين,14,بهدفين
نظيفين,3,نظيفين
لينضما,1,لينضما
لمنتخبات,4,لمنتخبات
بالبطولة,2,بالبطولة
اخلاقنا,3,اخلاقنا
الأصليين,1,الأصليين
ذولا,3,ذولا
منتسبين,1,منتسبين
نتبرأ,1,نتبرأ
يحرضوا,1,يحرضوا
سبايك,1,سبايك
الموجة,17,الموجة
الجارية,2,الجارية
قبيلتي,1,قبيلتي
الفرجان,1,الفرجان
والعواقير,1,والعواقير
تابوهات,1,تابوهات
شفناه,4,شفناه
إتحرر,1,إتحرر
عبوديه,1,عبوديه
للالحاد,1,للالحاد
نجيريا,2,نجيريا
المحمود,3,المحمود
رسمت,5,رسمت
ليأكد,1,ليأكد
جميعآ,3,جميعآ
معذرة,1,معذرة
والبرازيل,5,والبرازيل
اتعثرت,1,اتعثرت
بكورية,1,بكورية
وأخدت,1,وأخدت
دولت,3,دولت
القطرى,3,القطرى
جدول,25,جدول
EC,1,EC
وأمم,1,وأمم
أوروباوآخر,1,أوروباوآخر
خسائرهاقبل,1,خسائرهاقبل
بشبابه,3,بشبابه
وتنوعهم,2,وتنوعهم
المحترفة,2,المحترفة
موبيليس,2,موبيليس
الضظوي,1,الضظوي
حنفي,1,حنفي
بسطان,1,بسطان
929748818886840320,1,929748818886840320
928980719094743040,1,928980719094743040
واميرها,3,واميرها
الحاقدين,10,الحاقدين
المباركة,7,المباركة
وبغوا,1,وبغوا
شملهم,2,شملهم
ناصرهم,1,ناصرهم
وساندهم,1,وساندهم
ومحمدبن,1,ومحمدبن
زايدالخبيث,1,زايدالخبيث
929430446005513984,1,929430446005513984
مبروووووك,5,مبروووووك
التونس,1,التونس
ومبرووك,1,ومبرووك
928790318790664192,1,928790318790664192
هيروح,2,هيروح
والمنطق,1,والمنطق
ميندفعش,1,ميندفعش
ويقعد,2,ويقعد
يملكه,2,يملكه
اعضاء,12,اعضاء
العيله,3,العيله
المالكه,5,المالكه
927889476617039872,1,927889476617039872
وخرفانك,1,وخرفانك
خرفانك,1,خرفانك
929343857015345024,1,929343857015345024
SD,6,SD
متعدد,8,متعدد
929391483286884352,1,929391483286884352
927798676503875584,1,927798676503875584
وزار,2,وزار
929448304823369728,1,929448304823369728
إكتمل,1,إكتمل
العقدالعربي,1,العقدالعربي
نكتفي,1,نكتفي
لسعودتة,1,لسعودتة
وبما,9,وبما
ستدار,1,ستدار
كسابقتها,1,كسابقتها
سوكراتس,1,سوكراتس
لليونان,5,لليونان
بيرسيتش,1,بيرسيتش
لكرواتيا,2,لكرواتيا
القمامةانهم,1,القمامةانهم
مكةالمكرمة,9,مكةالمكرمة
الشنيوني,5,الشنيوني
سبورتHD2,1,سبورتHD2
الهزة,2,الهزة
اشهد,11,اشهد
بالاعراف,1,بالاعراف
والاخلاق,2,والاخلاق
MBZ,2,MBZ
MBS,2,MBS
عجاف,7,عجاف
شاغل,3,شاغل
اتولدنا,1,اتولدنا
أتفرج,7,أتفرج
إحساس,10,إحساس
استجمام,1,استجمام
قووووووووول,1,قووووووووول
wyf2017,3,wyf2017
Moemigegy,2,Moemigegy
ايرن,2,ايرن
روبين,2,روبين
رئيساابن,1,رئيساابن
تتعلق,14,تتعلق
بقضايا,16,بقضايا
بنوك,1,بنوك
وهيئة,1,وهيئة
بفلورز,15,بفلورز
للخميس,2,للخميس
بتكشف,3,بتكشف
وحتكشف,3,وحتكشف
الحقيقين,1,الحقيقين
تهزم,5,تهزم
للربيع,7,للربيع
الحزمهذا,2,الحزمهذا
للبلدان,3,للبلدان
ومشرد,3,ومشرد
الاطلس,14,الاطلس
مومياء,1,مومياء
حملها,3,حملها
سببته,1,سببته
وبئلك,2,وبئلك
بيصل,2,بيصل
وتنين,2,وتنين
الثائرة,4,الثائرة
مشاكلنا,4,مشاكلنا
هتتحل,1,هتتحل
الشلال,1,الشلال
هيفع,1,هيفع
تمنه,3,تمنه
ضااااعت,1,ضااااعت
هترجع,9,هترجع
صانعي,3,صانعي
الجولات,7,الجولات
UCL4Ar,4,UCL4Ar
للداخلية,2,للداخلية
مناسبتين,1,مناسبتين
1958,9,1958
للقب,2,للقب
يانور,1,يانور
عنينا,5,عنينا
ياكايد,1,ياكايد
اعداءمصر,1,اعداءمصر
وملبسهم,1,وملبسهم
وبصحه,1,وبصحه
وسعاده,3,وسعاده
وقائدها,1,وقائدها
بلدبنت,1,بلدبنت
بتتأمر,1,بتتأمر
قائدنا,6,قائدنا
ورافع,3,ورافع
ومشرفنا,2,ومشرفنا
مصلحه,7,مصلحه
وشباب,21,وشباب
متغرب,1,متغرب
وعهد,2,وعهد
محسسني,2,محسسني
ننتظره,2,ننتظره
ينتقل,7,ينتقل
والمفسدين,17,والمفسدين
بالعزيمة,1,بالعزيمة
والإرادة,1,والإرادة
يتنقل,1,يتنقل
نلزمه,1,نلزمه
يتيم,6,يتيم
أبرزهم,4,أبرزهم
اخترت,4,اخترت
داعمه,6,داعمه
للقياده,3,للقياده
والقائد,6,والقائد
وشبيحتهم,1,وشبيحتهم
FIFA18,3,FIFA18
مدربه,9,مدربه
هيرفي,12,هيرفي
مينفعش,7,مينفعش
أكذب,2,أكذب
للدوحة,7,للدوحة
سترون,1,سترون
ببعيده,2,ببعيده
ونفخ,1,ونفخ
وأيد,3,وأيد
حماقه,5,حماقه
الاحمق,1,الاحمق
ومستعبدين,1,ومستعبدين
ستقولون,1,ستقولون
الحتات,1,الحتات
واسسسسكت,1,واسسسسكت
ضايعة,3,ضايعة
ومضيقتوش,1,ومضيقتوش
ضيعتكم,2,ضيعتكم
وعطشنا,1,وعطشنا
وسكتم,1,وسكتم
بكتم,6,بكتم
اولادكم,1,اولادكم
بتتشطروا,2,بتتشطروا
بردعة,1,بردعة
بيركبها,1,بيركبها
ذراع,4,ذراع
مخابراتي,1,مخابراتي
لهاية,1,لهاية
عارفينها,1,عارفينها
مريح,4,مريح
قلاقل,4,قلاقل
الكبرىالثورة,1,الكبرىالثورة
تصديرها,2,تصديرها
للعالمالحرب,1,للعالمالحرب
الإيرانيةحرب,1,الإيرانيةحرب
الخليجغزو,1,الخليجغزو
أفغانستانغزو,1,أفغانستانغزو
العراقالربيع,1,العراقالربيع
الخليجيةغزو,1,الخليجيةغزو
اليمنحصار,2,اليمنحصار
تعبرها,2,تعبرها
ترييح,2,ترييح
والفرحة,5,والفرحة
مستقبلي,3,مستقبلي
يخوض,9,يخوض
وبوليفيا,2,وبوليفيا
وتشيلي,3,وتشيلي
وكولمبيا,1,وكولمبيا
والباراغواي,1,والباراغواي
والاوروغواي,1,والاوروغواي
الدولتين,4,الدولتين
وهيا,6,وهيا
السعوديةأكبر,1,السعوديةأكبر
وسكانا,1,وسكانا
إقليمية,4,إقليمية
ارهابي,26,ارهابي
داعشي,6,داعشي
تسوون,4,تسوون
مظلومين,2,مظلومين
زيكم,8,زيكم
ودعمنا,1,ودعمنا
نملك,5,نملك
لجيش,1,لجيش
جاحد,1,جاحد
ومافيش,6,ومافيش
ماعملش,1,ماعملش
وكولجية,1,وكولجية
هايولعو,1,هايولعو
مشعان,5,مشعان
الجبوري,4,الجبوري
ومكملين,1,ومكملين
التناقض,6,التناقض
قمعت,1,قمعت
واستقبلت,1,واستقبلت
والعادلي,1,والعادلي
وبتساعد,1,وبتساعد
المصلحه,4,المصلحه
معندناش,10,معندناش
ولاصحه,1,ولاصحه
اسكان,2,اسكان
سياحه,2,سياحه
نحمي,1,نحمي
تبغى,4,تبغى
تشجعه,1,تشجعه
شجعه,1,شجعه
نشجعهم,1,نشجعهم
واعلى,1,واعلى
خيلكم,1,خيلكم
اركبوه,1,اركبوه
شجعناه,1,شجعناه
هلالكم,1,هلالكم
بهدد,1,بهدد
بالانسحاب,6,بالانسحاب
آخد,1,آخد
ينتقدني,1,ينتقدني
فكرني,3,فكرني
بمثل,3,بمثل
بسمعة,1,بسمعة
عريان,3,عريان
الطيز,1,الطيز
بيتأمز,1,بيتأمز
تأميز,1,تأميز
الخماره,1,الخماره
منين,19,منين
الليلةمباراة,1,الليلةمباراة
الوداد,16,الوداد
البيضاوي,2,البيضاوي
وحماسية,1,وحماسية
حاشجع,1,حاشجع
المغاربهعذرا,1,المغاربهعذرا
كهرباا,1,كهرباا
عذرا,12,عذرا
مغاربية,1,مغاربية
يضحكوا,2,يضحكوا
وعشان,9,وعشان
هالانحطاط,1,هالانحطاط
يريدتحقيق,10,يريدتحقيق
بتتعولق,1,بتتعولق
تبق,1,تبق
لكون,3,لكون
السيادي,2,السيادي
بيدها,2,بيدها
لاناقة,1,لاناقة
مهزوما,1,مهزوما
القارات,20,القارات
المتأهلين,11,المتأهلين
868,1,868
2454,2,2454
83,7,83
الكروت,2,الكروت
2965,1,2965
148,1,148
يزايد,2,يزايد
ملأ,4,ملأ
مدرجات,2,مدرجات
الجوهره,2,الجوهره
ظروفه,1,ظروفه
باصى,3,باصى
لعفيفى,3,لعفيفى
عفيفى,2,عفيفى
صلا,1,صلا
نانانانا,1,نانانانا
خالدعلى,3,خالدعلى
إعادةالاعتبارإلى,1,إعادةالاعتبارإلى
أهلنافي,1,أهلنافي
المحبوسين,16,المحبوسين
احتياطيا,5,احتياطيا
عفو,1,عفو
إلغاءالظام,1,إلغاءالظام
لتعيين,1,لتعيين
باللائحة,1,باللائحة
إبننا,1,إبننا
مثله,16,مثله
حمضدين,1,حمضدين
ظلامى,1,ظلامى
لقاعة,4,لقاعة
الختامى,5,الختامى
وهنلبس,1,وهنلبس
يتخيل,4,يتخيل
تاهلت,6,تاهلت
ماعليش,1,ماعليش
يابوفون,2,يابوفون
هلاكنا,1,هلاكنا
أزمه,14,أزمه
ندخل,10,ندخل
طائفه,1,طائفه
نائمه,2,نائمه
مميزا,1,مميزا
ويستحقون,1,ويستحقون
التكريم,4,التكريم
الزامل,1,الزامل
للقارة,10,للقارة
الشقيقه,7,الشقيقه
لتوصيات,9,لتوصيات
وردت,5,وردت
الحضرة,3,الحضرة
236,8,236
القائم,8,القائم
المربع,4,المربع
خر,2,خر
بوسائل,3,بوسائل
لرسم,2,لرسم
اوسطيه,2,اوسطيه
يلبي,1,يلبي
المتنفذين,1,المتنفذين
السكاكين,1,السكاكين
كعكتنا,1,كعكتنا
وحبيبي,4,وحبيبي
إقرأ,5,إقرأ
الإنجيل,3,الإنجيل
وآمن,3,وآمن
بأحدهم,3,بأحدهم
يهودياأومسيحياأوآمن,2,يهودياأومسيحياأوآمن
مسلمالله,3,مسلمالله
أوأكفربال,3,أوأكفربال
كافراوالعياذبالله,1,كافراوالعياذبالله
هذاهو,1,هذاهو
نخوض,2,نخوض
قاره,3,قاره
وملحق,8,وملحق
لأوروبي,1,لأوروبي
مالكه,1,مالكه
كاتبه,3,كاتبه
غيرو,4,غيرو
رأيهم,3,رأيهم
شفيهم,2,شفيهم
مايعمل,1,مايعمل
ودنيئ,1,ودنيئ
طلعنه,1,طلعنه
الديار,9,الديار
بالتساوي,2,بالتساوي
ماالاحصائيات,1,ماالاحصائيات
شاشه,1,شاشه
ومكشوفه,1,ومكشوفه
صلاحسيميوني,1,صلاحسيميوني
وقبلة,1,وقبلة
تتوانى,1,تتوانى
الغزو,9,الغزو
والجميل,3,والجميل
ويقابلونه,1,ويقابلونه
بالحياد,5,بالحياد
والصمت,4,والصمت
تكرم,6,تكرم
إعرف,1,إعرف
للغش,1,للغش
والمرضوالدولة,1,والمرضوالدولة
تطلعهمولا,1,تطلعهمولا
الخليجكل,1,الخليجكل
قاموا,8,قاموا
السودانولا,1,السودانولا
ياحرمه,1,ياحرمه
بتكرم,3,بتكرم
اعطته,1,اعطته
فأكرمهم,1,فأكرمهم
نوفمبرشعوب,1,نوفمبرشعوب
تثور,6,تثور
بدول,9,بدول
بمظاهراتهم,1,بمظاهراتهم
وجزيرتهم,1,وجزيرتهم
ومو,5,ومو
وتعلم,2,وتعلم
هنلعب,10,هنلعب
خايفين,9,خايفين
انفورم,3,انفورم
ST,4,ST
بطاقته,1,بطاقته
يشيدون,4,يشيدون
باهتمام,2,باهتمام
مسمي,5,مسمي
تشجع,4,تشجع
ردعليك,1,ردعليك
القحطاني,17,القحطاني
وعراك,1,وعراك
حقيقت,1,حقيقت
حقيقيه,3,حقيقيه
EDUARDO,1,EDUARDO
CASTALDO,1,CASTALDO
هاهو,3,هاهو
وأمس,1,وأمس
يلمع,2,يلمع
ومورينيو,1,ومورينيو
ينطفئ,2,ينطفئ
عنابي,3,عنابي
الأشبال,1,الأشبال
الآي,1,الآي
أف,2,أف
مخطوفة,2,مخطوفة
رأيها,3,رأيها
ماباعتش,2,ماباعتش
بتصرخ,3,بتصرخ
الوساخه,2,الوساخه
وظهرت,1,وظهرت
والنشطاء,7,والنشطاء
رائيس,3,رائيس
اداريه,2,اداريه
اديلوا,1,اديلوا
اصدقاؤه,1,اصدقاؤه
مايعة,1,مايعة
ملتويه,1,ملتويه
نظامة,1,نظامة
ايدتوه,1,ايدتوه
رجلكم,1,رجلكم
استحملوه,1,استحملوه
المهرج,3,المهرج
واليست,1,واليست
انصره,1,انصره
والعباد,9,والعباد
وارزقه,1,وارزقه
الناصحة,1,الناصحة
احفظه,2,احفظه
يديه,2,يديه
يمينه,1,يمينه
شماله,1,شماله
ونعود,1,ونعود
بعظمتك,1,بعظمتك
يغتال,2,يغتال
تحته,2,تحته
نحبه,2,نحبه
ونسأل,1,ونسأل
والسداد,4,والسداد
الجدع,2,الجدع
شوفته,3,شوفته
واعرفه,1,واعرفه
مباركي,1,مباركي
الطراز,2,الطراز
العميق,4,العميق
بيشرشحوها,1,بيشرشحوها
سوكتم,1,سوكتم
بوكتم,1,بوكتم
وبيخر,1,وبيخر
هيثق,1,هيثق
هيشرف,2,هيشرف
الرئاسيه,2,الرئاسيه
وااااااا,1,وااااااا
السروق,1,السروق
والضربة,1,والضربة
القاصمة,2,القاصمة
العربييبتسم,1,العربييبتسم
مثلكم,5,مثلكم
يعقلون,2,يعقلون
يتطور,1,يتطور
تفكيرهم,5,تفكيرهم
ومحلل,2,ومحلل
فارغه,2,فارغه
