emoticon,english_translation,arabic_translation
👷 🏽 ‍ ♂ ️,man_construction_worker_medium_skin_tone,رجل عامل بناء متوسط ​​لون البشرة
👨 ‍ 🍳,man_cook,رجل يطبخ
👨 🏿 ‍ 🍳,man_cook_dark_skin_tone,الرجل يطبخ لون البشرة الداكنة
👨 🏻 ‍ 🍳,man_cook_light_skin_tone,رجل يطبخ لون البشرة الفاتح
👨 🏾 ‍ 🍳,man_cook_medium-dark_skin_tone,رجل يطبخ لون بشرة متوسط ​​داكن
👨 🏼 ‍ 🍳,man_cook_medium-light_skin_tone,رجل يطبخ لون بشرة متوسط ​​فاتح
👨 🏽 ‍ 🍳,man_cook_medium_skin_tone,رجل يطبخ لون بشرة متوسط
🕺,man_dancing,رجل يرقص
🕺 🏿,man_dancing_dark_skin_tone,رجل يرقص بلون البشرة الداكنة
🕺 🏻,man_dancing_light_skin_tone,رجل يرقص بلون البشرة الفاتح
🕺 🏾,man_dancing_medium-dark_skin_tone,رجل يرقص بلون بشرة متوسط ​​داكن
🕺 🏼,man_dancing_medium-light_skin_tone,رجل يرقص بلون بشرة متوسط ​​فاتح
🕺 🏽,man_dancing_medium_skin_tone,رجل يرقص لون بشرة متوسط
👨 🏿,man_dark_skin_tone,الرجل ذو البشرة الداكنة
🕵 ️ ‍ ♂ ️,man_detective,رجل المباحث
🕵 🏿 ‍ ♂ ️,man_detective_dark_skin_tone,رجل المباحث لهجة البشرة الداكنة
🕵 🏻 ‍ ♂ ️,man_detective_light_skin_tone,رجل المباحث لهجة البشرة الفاتحة
🕵 🏾 ‍ ♂ ️,man_detective_medium-dark_skin_tone,رجل المباحث بلون بشرة داكن متوسط
🕵 🏼 ‍ ♂ ️,man_detective_medium-light_skin_tone,رجل المباحث متوسط ​​لون البشرة الفاتح
🕵 🏽 ‍ ♂ ️,man_detective_medium_skin_tone,رجل المباحث لون البشرة المتوسطة
🤦 ‍ ♂ ️,man_facepalming,رجل على الوجه
🤦 🏿 ‍ ♂ ️,man_facepalming_dark_skin_tone,رجل facepalming لون البشرة الداكنة
🤦 🏻 ‍ ♂ ️,man_facepalming_light_skin_tone,رجل facepalming لون البشرة الفاتح
🤦 🏾 ‍ ♂ ️,man_facepalming_medium-dark_skin_tone,رجل يمزج لون بشرة متوسط ​​داكن
🤦 🏼 ‍ ♂ ️,man_facepalming_medium-light_skin_tone,رجل facepalming متوسطة لون البشرة الفاتحة
🤦 🏽 ‍ ♂ ️,man_facepalming_medium_skin_tone,رجل facepalming متوسط ​​لون البشرة
👨 ‍ 🏭,man_factory_worker,عامل مصنع مان
👨 🏿 ‍ 🏭,man_factory_worker_dark_skin_tone,عامل مصنع رجل لهجة البشرة الداكنة
👨 🏻 ‍ 🏭,man_factory_worker_light_skin_tone,عامل مصنع الرجل لون البشرة الفاتح
👨 🏾 ‍ 🏭,man_factory_worker_medium-dark_skin_tone,رجل عامل في المصنع لون بشرة متوسط ​​داكن
👨 🏼 ‍ 🏭,man_factory_worker_medium-light_skin_tone,رجل عامل في المصنع متوسط ​​لون البشرة فاتح
👨 🏽 ‍ 🏭,man_factory_worker_medium_skin_tone,عامل مصنع الرجل متوسط ​​لون البشرة
👨 ‍ 🌾,man_farmer,رجل مزارع
👨 🏿 ‍ 🌾,man_farmer_dark_skin_tone,رجل مزارع لهجة البشرة الداكنة
👨 🏻 ‍ 🌾,man_farmer_light_skin_tone,رجل مزارع لون البشرة الفاتح
👨 🏾 ‍ 🌾,man_farmer_medium-dark_skin_tone,رجل مزارع بلون بشرة متوسط ​​داكن
👨 🏼 ‍ 🌾,man_farmer_medium-light_skin_tone,رجل مزارع لون بشرة متوسط ​​فاتح
👨 🏽 ‍ 🌾,man_farmer_medium_skin_tone,رجل مزارع متوسط ​​لون البشرة
👨 ‍ 🚒,man_firefighter,رجل اطفاء
👨 🏿 ‍ 🚒,man_firefighter_dark_skin_tone,رجل رجال الاطفاء لون البشرة الداكن
👨 🏻 ‍ 🚒,man_firefighter_light_skin_tone,رجل رجال الاطفاء لون البشرة الفاتح
👨 🏾 ‍ 🚒,man_firefighter_medium-dark_skin_tone,رجل رجال الاطفاء متوسط ​​لون البشرة الغامق
👨 🏼 ‍ 🚒,man_firefighter_medium-light_skin_tone,رجل رجال الاطفاء متوسط ​​لون البشرة الفاتح
👨 🏽 ‍ 🚒,man_firefighter_medium_skin_tone,رجل رجال الاطفاء متوسط ​​لون البشرة
🙍 ‍ ♂ ️,man_frowning,رجل عابس
🙍 🏿 ‍ ♂ ️,man_frowning_dark_skin_tone,رجل عابس البشرة السمراء
🙍 🏻 ‍ ♂ ️,man_frowning_light_skin_tone,رجل عابس بشرة فاتحة اللون
🙍 🏾 ‍ ♂ ️,man_frowning_medium-dark_skin_tone,رجل عابس لون بشرة متوسط ​​داكن
🙍 🏼 ‍ ♂ ️,man_frowning_medium-light_skin_tone,رجل عابس لون بشرة متوسط ​​فاتح
🙍 🏽 ‍ ♂ ️,man_frowning_medium_skin_tone,رجل عابس بشرة متوسطة
🙅 ‍ ♂ ️,man_gesturing_NO,رجل يشير لا
🙅 🏿 ‍ ♂ ️,man_gesturing_NO_dark_skin_tone,رجل يشير لا لون البشرة الداكنة
🙅 🏻 ‍ ♂ ️,man_gesturing_NO_light_skin_tone,رجل يشير لا لون بشرة فاتح
🙅 🏾 ‍ ♂ ️,man_gesturing_NO_medium-dark_skin_tone,رجل يشير إلى لون بشرة متوسط ​​داكن
🙅 🏼 ‍ ♂ ️,man_gesturing_NO_medium-light_skin_tone,رجل يشير لا لون بشرة متوسط ​​الضوء
🙅 🏽 ‍ ♂ ️,man_gesturing_NO_medium_skin_tone,رجل يشير لا لون بشرة متوسط
🙆 ‍ ♂ ️,man_gesturing_OK,رجل يشير بخير
🙆 🏿 ‍ ♂ ️,man_gesturing_OK_dark_skin_tone,رجل يشير إلى ما يرام بشرة داكنة
🙆 🏻 ‍ ♂ ️,man_gesturing_OK_light_skin_tone,رجل يشير إلى ما يرام بشرة فاتحة اللون
🙆 🏾 ‍ ♂ ️,man_gesturing_OK_medium-dark_skin_tone,رجل يشير إلى لون بشرة متوسط ​​داكن
🙆 🏼 ‍ ♂ ️,man_gesturing_OK_medium-light_skin_tone,رجل يشير إلى ما يرام مع لون بشرة متوسط ​​فاتح
🙆 🏽 ‍ ♂ ️,man_gesturing_OK_medium_skin_tone,رجل يشير طيب بشرة متوسطة
💇 ‍ ♂ ️,man_getting_haircut,رجل يقص شعره
💇 🏿 ‍ ♂ ️,man_getting_haircut_dark_skin_tone,رجل يحصل على حلاقة بشرة داكنة
💇 🏻 ‍ ♂ ️,man_getting_haircut_light_skin_tone,رجل يحصل على قصة شعر بلون البشرة الفاتح
💇 🏾 ‍ ♂ ️,man_getting_haircut_medium-dark_skin_tone,رجل يحصل على قصة شعر بلون بشرة متوسط ​​داكن
💇 🏼 ‍ ♂ ️,man_getting_haircut_medium-light_skin_tone,رجل يحصل على قصة شعر بلون بشرة متوسط ​​فاتح
💇 🏽 ‍ ♂ ️,man_getting_haircut_medium_skin_tone,رجل يحصل على قصة شعر ذات لون بشرة متوسط
💆 ‍ ♂ ️,man_getting_massage,الرجل يحصل على تدليك
💆 🏿 ‍ ♂ ️,man_getting_massage_dark_skin_tone,رجل يحصل على تدليك بلون البشرة الداكن
💆 🏻 ‍ ♂ ️,man_getting_massage_light_skin_tone,الرجل يحصل على تدليك بلون البشرة الفاتح
💆 🏾 ‍ ♂ ️,man_getting_massage_medium-dark_skin_tone,رجل يحصل على تدليك بلون بشرة داكن متوسط
💆 🏼 ‍ ♂ ️,man_getting_massage_medium-light_skin_tone,رجل يحصل على تدليك بلون البشرة الفاتح المتوسط
💆 🏽 ‍ ♂ ️,man_getting_massage_medium_skin_tone,الرجل يحصل على تدليك بلون بشرة متوسط
🏌 ️ ‍ ♂ ️,man_golfing,رجل الجولف
🏌 🏿 ‍ ♂ ️,man_golfing_dark_skin_tone,رجل الغولف لهجة البشرة الداكنة
🏌 🏻 ‍ ♂ ️,man_golfing_light_skin_tone,رجل جولف لون البشرة الفاتح
🏌 🏾 ‍ ♂ ️,man_golfing_medium-dark_skin_tone,رجل جولف لون بشرة متوسط ​​داكن
🏌 🏼 ‍ ♂ ️,man_golfing_medium-light_skin_tone,رجل جولف متوسط ​​لون البشرة الفاتح
🏌 🏽 ‍ ♂ ️,man_golfing_medium_skin_tone,رجل جولف متوسط ​​لون البشرة
💂 ‍ ♂ ️,man_guard,حارس
💂 🏿 ‍ ♂ ️,man_guard_dark_skin_tone,حارس الرجل ذو البشرة الداكنة
💂 🏻 ‍ ♂ ️,man_guard_light_skin_tone,حارس الرجل لون البشرة الفاتح
💂 🏾 ‍ ♂ ️,man_guard_medium-dark_skin_tone,حارس الرجل ذو لون بشرة متوسط ​​داكن
💂 🏼 ‍ ♂ ️,man_guard_medium-light_skin_tone,حارس الرجل لون بشرة متوسط ​​فاتح
💂 🏽 ‍ ♂ ️,man_guard_medium_skin_tone,حارس الرجل متوسط ​​لون البشرة
👨 ‍ ⚕ ️,man_health_worker,عامل صحة الرجل
👨 🏿 ‍ ⚕ ️,man_health_worker_dark_skin_tone,عامل صحة الرجل لهجة البشرة الداكنة
👨 🏻 ‍ ⚕ ️,man_health_worker_light_skin_tone,عامل صحة الرجل لون البشرة الفاتح
👨 🏾 ‍ ⚕ ️,man_health_worker_medium-dark_skin_tone,عامل صحة الرجل متوسط ​​لون البشرة غامق
👨 🏼 ‍ ⚕ ️,man_health_worker_medium-light_skin_tone,عامل صحة الرجل متوسط ​​لون البشرة فاتح
👨 🏽 ‍ ⚕ ️,man_health_worker_medium_skin_tone,عامل صحة الرجل متوسط ​​لون البشرة
🕴,man_in_business_suit_levitating,رجل يرتدي بدلة العمل
🕴 🏿,man_in_business_suit_levitating_dark_skin_tone,رجل يرتدي بدلة عمل يرتفع لون البشرة الداكن
🕴 🏻,man_in_business_suit_levitating_light_skin_tone,رجل يرتدي بدلة عمل يرتفع لون البشرة الفاتح
🕴 🏾,man_in_business_suit_levitating_medium-dark_skin_tone,رجل يرتدي بدلة عمل يرتفع درجة لون بشرة داكنة متوسطة
🕴 🏼,man_in_business_suit_levitating_medium-light_skin_tone,رجل يرتدي بدلة عمل يرتفع متوسط ​​لون البشرة الفاتح
🕴 🏽,man_in_business_suit_levitating_medium_skin_tone,رجل يرتدي بدلة عمل يرتفع متوسط ​​لون البشرة
🤵,man_in_tuxedo,رجل يرتدي سهرة
🤵 🏿,man_in_tuxedo_dark_skin_tone,رجل يرتدي سهرة بلون البشرة الداكنة
🤵 🏻,man_in_tuxedo_light_skin_tone,الرجل في سهرة بلون البشرة الفاتح
🤵 🏾,man_in_tuxedo_medium-dark_skin_tone,رجل يرتدي سهرة متوسطة بلون البشرة الداكن
🤵 🏼,man_in_tuxedo_medium-light_skin_tone,رجل يرتدي سهرة متوسطة لون البشرة الفاتح
🤵 🏽,man_in_tuxedo_medium_skin_tone,رجل يرتدي سهرة متوسطة لون البشرة
👨 ‍ ⚖ ️,man_judge,رجل القاضي
👨 🏿 ‍ ⚖ ️,man_judge_dark_skin_tone,القاضي الرجل لون البشرة الداكنة
👨 🏻 ‍ ⚖ ️,man_judge_light_skin_tone,رجل القاضي لون البشرة الفاتح
👨 🏾 ‍ ⚖ ️,man_judge_medium-dark_skin_tone,يحكم الرجل على لون بشرة متوسط ​​داكن
👨 🏼 ‍ ⚖ ️,man_judge_medium-light_skin_tone,يحكم الرجل على لون بشرة متوسط ​​فاتح
👨 🏽 ‍ ⚖ ️,man_judge_medium_skin_tone,القاضي متوسط ​​لون البشرة
🤹 ‍ ♂ ️,man_juggling,شعوذة رجل
🤹 🏿 ‍ ♂ ️,man_juggling_dark_skin_tone,رجل يتلاعب بلون البشرة الداكن
🤹 🏻 ‍ ♂ ️,man_juggling_light_skin_tone,شعوذة رجل بشرة فاتحة
🤹 🏾 ‍ ♂ ️,man_juggling_medium-dark_skin_tone,رجل يتلاعب بلون بشرة متوسط ​​داكن
🤹 🏼 ‍ ♂ ️,man_juggling_medium-light_skin_tone,رجل يتلاعب بلون بشرة متوسط ​​إلى فاتح
🤹 🏽 ‍ ♂ ️,man_juggling_medium_skin_tone,شعوذة رجل متوسط ​​لون البشرة
🏋 ️ ‍ ♂ ️,man_lifting_weights,رجل يرفع الأثقال
🏋 🏿 ‍ ♂ ️,man_lifting_weights_dark_skin_tone,رجل رفع الأثقال لهجة الجلد الداكن
🏋 🏻 ‍ ♂ ️,man_lifting_weights_light_skin_tone,رجل رفع الأثقال لون البشرة الفاتح
🏋 🏾 ‍ ♂ ️,man_lifting_weights_medium-dark_skin_tone,رجل يرفع الأثقال بلون بشرة داكن متوسط
🏋 🏼 ‍ ♂ ️,man_lifting_weights_medium-light_skin_tone,رجل رفع الأثقال لون بشرة فاتح متوسط
🏋 🏽 ‍ ♂ ️,man_lifting_weights_medium_skin_tone,رجل رفع أثقال لون بشرة متوسط
👨 🏻,man_light_skin_tone,رجل بشرة فاتحة اللون
👨 ‍ 🔧,man_mechanic,ميكانيكي رجل
👨 🏿 ‍ 🔧,man_mechanic_dark_skin_tone,ميكانيكي الرجل لهجة البشرة الداكنة
👨 🏻 ‍ 🔧,man_mechanic_light_skin_tone,رجل ميكانيكي لون البشرة الفاتح
👨 🏾 ‍ 🔧,man_mechanic_medium-dark_skin_tone,ميكانيكي الرجل لون بشرة متوسط ​​داكن
👨 🏼 ‍ 🔧,man_mechanic_medium-light_skin_tone,ميكانيكي للرجل لون بشرة متوسط ​​فاتح
👨 🏽 ‍ 🔧,man_mechanic_medium_skin_tone,رجل ميكانيكي متوسط ​​لون البشرة
👨 🏾,man_medium-dark_skin_tone,رجل بشرة بلون متوسط ​​داكن
👨 🏼,man_medium-light_skin_tone,رجل بشرة بلون متوسط ​​فاتح
👨 🏽,man_medium_skin_tone,رجل متوسط ​​لون البشرة
🚵 ‍ ♂ ️,man_mountain_biking,رجل ركوب الدراجات الجبلية
🚵 🏿 ‍ ♂ ️,man_mountain_biking_dark_skin_tone,رجل ركوب الدراجات الجبلية لهجة الجلد الداكن
🚵 🏻 ‍ ♂ ️,man_mountain_biking_light_skin_tone,رجل ركوب الدراجات الجبلية لون البشرة الفاتح
🚵 🏾 ‍ ♂ ️,man_mountain_biking_medium-dark_skin_tone,رجل يركب دراجات جبلية بلون بشرة داكن متوسط
🚵 🏼 ‍ ♂ ️,man_mountain_biking_medium-light_skin_tone,رجل يركب دراجات جبلية بلون فاتح متوسط
🚵 🏽 ‍ ♂ ️,man_mountain_biking_medium_skin_tone,رجل ركوب الدراجات الجبلية لون البشرة متوسط
👨 ‍ 💼,man_office_worker,رجل عامل مكتب
👨 🏿 ‍ 💼,man_office_worker_dark_skin_tone,رجل عامل مكتب لهجة البشرة الداكنة
👨 🏻 ‍ 💼,man_office_worker_light_skin_tone,رجل عامل مكتب لهجة البشرة الفاتحة
👨 🏾 ‍ 💼,man_office_worker_medium-dark_skin_tone,رجل عامل مكتب متوسط ​​لون البشرة غامق
👨 🏼 ‍ 💼,man_office_worker_medium-light_skin_tone,رجل عامل مكتب متوسط ​​لون البشرة فاتح
👨 🏽 ‍ 💼,man_office_worker_medium_skin_tone,رجل عامل مكتب متوسط ​​لون البشرة
👨 ‍ ✈ ️,man_pilot,رجل طيار
👨 🏿 ‍ ✈ ️,man_pilot_dark_skin_tone,رجل طيار لهجة البشرة الداكنة
👨 🏻 ‍ ✈ ️,man_pilot_light_skin_tone,رجل طيار فاتح لهجة البشرة
👨 🏾 ‍ ✈ ️,man_pilot_medium-dark_skin_tone,رجل طيار بلون بشرة متوسط ​​داكن
👨 🏼 ‍ ✈ ️,man_pilot_medium-light_skin_tone,الرجل الطيار متوسط ​​لون البشرة الفاتح
👨 🏽 ‍ ✈ ️,man_pilot_medium_skin_tone,رجل طيار متوسط ​​لون البشرة
🤾 ‍ ♂ ️,man_playing_handball,رجل يلعب كرة اليد
🤾 🏿 ‍ ♂ ️,man_playing_handball_dark_skin_tone,رجل يلعب كرة اليد بلون البشرة الداكنة
🤾 🏻 ‍ ♂ ️,man_playing_handball_light_skin_tone,رجل يلعب كرة اليد بلون البشرة الفاتح
🤾 🏾 ‍ ♂ ️,man_playing_handball_medium-dark_skin_tone,رجل يلعب كرة اليد بلون بشرة داكن متوسط
🤾 🏼 ‍ ♂ ️,man_playing_handball_medium-light_skin_tone,رجل يلعب كرة اليد بلون جلد فاتح متوسط
🤾 🏽 ‍ ♂ ️,man_playing_handball_medium_skin_tone,رجل يلعب كرة اليد متوسطة لهجة الجلد
🤽 ‍ ♂ ️,man_playing_water_polo,رجل يلعب كرة الماء
🤽 🏿 ‍ ♂ ️,man_playing_water_polo_dark_skin_tone,رجل يلعب كرة الماء بلون البشرة الداكنة
🤽 🏻 ‍ ♂ ️,man_playing_water_polo_light_skin_tone,رجل يلعب كرة الماء بلون بشرة فاتح
🤽 🏾 ‍ ♂ ️,man_playing_water_polo_medium-dark_skin_tone,رجل يلعب كرة الماء بلون بشرة داكن متوسط
🤽 🏼 ‍ ♂ ️,man_playing_water_polo_medium-light_skin_tone,رجل يلعب كرة الماء بلون بشرة فاتح متوسط
🤽 🏽 ‍ ♂ ️,man_playing_water_polo_medium_skin_tone,رجل يلعب كرة الماء متوسط ​​لون البشرة
👮 ‍ ♂ ️,man_police_officer,رجل ضابط شرطة
👮 🏿 ‍ ♂ ️,man_police_officer_dark_skin_tone,رجل ضابط شرطة لهجة الجلد الداكن
👮 🏻 ‍ ♂ ️,man_police_officer_light_skin_tone,رجل ضابط شرطة لون البشرة الفاتح
👮 🏾 ‍ ♂ ️,man_police_officer_medium-dark_skin_tone,رجل ضابط شرطة متوسط ​​لون البشرة غامق
👮 🏼 ‍ ♂ ️,man_police_officer_medium-light_skin_tone,رجل ضابط شرطة متوسط ​​لون البشرة فاتح
👮 🏽 ‍ ♂ ️,man_police_officer_medium_skin_tone,رجل ضابط شرطة متوسط ​​لون البشرة
🙎 ‍ ♂ ️,man_pouting,رجل عابس
🙎 🏿 ‍ ♂ ️,man_pouting_dark_skin_tone,رجل عابس بشرة داكنة اللون
🙎 🏻 ‍ ♂ ️,man_pouting_light_skin_tone,رجل عابس بشرة فاتحة اللون
🙎 🏾 ‍ ♂ ️,man_pouting_medium-dark_skin_tone,رجل عابس بشرة بلون متوسط ​​داكن
🙎 🏼 ‍ ♂ ️,man_pouting_medium-light_skin_tone,رجل عابس لون بشرة متوسط ​​فاتح
🙎 🏽 ‍ ♂ ️,man_pouting_medium_skin_tone,رجل عابس لون بشرة متوسط
🙋 ‍ ♂ ️,man_raising_hand,رجل يرفع يده
🙋 🏿 ‍ ♂ ️,man_raising_hand_dark_skin_tone,رجل يرفع يده بلون البشرة الداكنة
🙋 🏻 ‍ ♂ ️,man_raising_hand_light_skin_tone,رجل يرفع يده بلون البشرة الفاتح
🙋 🏾 ‍ ♂ ️,man_raising_hand_medium-dark_skin_tone,رجل يرفع يده بلون بشرة داكن متوسط
🙋 🏼 ‍ ♂ ️,man_raising_hand_medium-light_skin_tone,رجل يرفع يده بدرجة لون بشرة فاتحة متوسطة
🙋 🏽 ‍ ♂ ️,man_raising_hand_medium_skin_tone,رجل يرفع يده بلون بشرة متوسط
🚣 ‍ ♂ ️,man_rowing_boat,رجل يجدف بالقارب
🚣 🏿 ‍ ♂ ️,man_rowing_boat_dark_skin_tone,رجل يجدف قارب بلون البشرة الداكنة
🚣 🏻 ‍ ♂ ️,man_rowing_boat_light_skin_tone,رجل يجدف قارب بلون البشرة الفاتح
🚣 🏾 ‍ ♂ ️,man_rowing_boat_medium-dark_skin_tone,رجل يجدف بزورق بلون بشرة متوسط ​​داكن
🚣 🏼 ‍ ♂ ️,man_rowing_boat_medium-light_skin_tone,رجل يجدف بقارب بلون بشرة متوسط ​​فاتح
🚣 🏽 ‍ ♂ ️,man_rowing_boat_medium_skin_tone,رجل يجدف قارب بلون بشرة متوسط
🏃 ‍ ♂ ️,man_running,رجل يركض
🏃 🏿 ‍ ♂ ️,man_running_dark_skin_tone,رجل يركض بلون البشرة الداكنة
🏃 🏻 ‍ ♂ ️,man_running_light_skin_tone,رجل يركض بلون بشرة فاتح
🏃 🏾 ‍ ♂ ️,man_running_medium-dark_skin_tone,رجل يركض بلون بشرة متوسط ​​داكن
🏃 🏼 ‍ ♂ ️,man_running_medium-light_skin_tone,رجل يركض بلون بشرة فاتح متوسط
🏃 🏽 ‍ ♂ ️,man_running_medium_skin_tone,رجل يركض بلون بشرة متوسط
👨 ‍ 🔬,man_scientist,رجل عالم
👨 🏿 ‍ 🔬,man_scientist_dark_skin_tone,رجل عالم لهجة البشرة الداكنة
👨 🏻 ‍ 🔬,man_scientist_light_skin_tone,رجل عالم لون البشرة الفاتح
👨 🏾 ‍ 🔬,man_scientist_medium-dark_skin_tone,رجل عالِم لون بشرة متوسط ​​داكن
👨 🏼 ‍ 🔬,man_scientist_medium-light_skin_tone,رجل عالم لون بشرة متوسط ​​فاتح
👨 🏽 ‍ 🔬,man_scientist_medium_skin_tone,رجل عالم متوسط ​​لون البشرة
🤷 ‍ ♂ ️,man_shrugging,رجل يهز كتفيه
🤷 🏿 ‍ ♂ ️,man_shrugging_dark_skin_tone,رجل يتجاهل لون البشرة الداكنة
🤷 🏻 ‍ ♂ ️,man_shrugging_light_skin_tone,رجل يهز لون البشرة الفاتح
🤷 🏾 ‍ ♂ ️,man_shrugging_medium-dark_skin_tone,رجل يهز كتفيه لون بشرة متوسط ​​داكن
🤷 🏼 ‍ ♂ ️,man_shrugging_medium-light_skin_tone,رجل يهز كتفيه لون بشرة متوسط ​​الفاتح
🤷 🏽 ‍ ♂ ️,man_shrugging_medium_skin_tone,رجل يهز كتفيه لون بشرة متوسط
👨 ‍ 🎤,man_singer,رجل مغني
👨 🏿 ‍ 🎤,man_singer_dark_skin_tone,رجل مغني ذو بشرة داكنة
👨 🏻 ‍ 🎤,man_singer_light_skin_tone,رجل مغني ذو بشرة فاتحة
👨 🏾 ‍ 🎤,man_singer_medium-dark_skin_tone,رجل مغني بلون بشرة متوسط ​​داكن
👨 🏼 ‍ 🎤,man_singer_medium-light_skin_tone,رجل مغني بلون بشرة متوسط ​​فاتح
👨 🏽 ‍ 🎤,man_singer_medium_skin_tone,رجل مغني ذو بشرة متوسطة
👨 ‍ 🎓,man_student,رجل طالب
👨 🏿 ‍ 🎓,man_student_dark_skin_tone,رجل طالب لهجة البشرة الداكنة
👨 🏻 ‍ 🎓,man_student_light_skin_tone,طالب بشرة فاتحة اللون
👨 🏾 ‍ 🎓,man_student_medium-dark_skin_tone,طالب متوسط ​​لون البشرة غامق
👨 🏼 ‍ 🎓,man_student_medium-light_skin_tone,رجل طالب متوسط ​​لون البشرة فاتح
👨 🏽 ‍ 🎓,man_student_medium_skin_tone,طالب متوسط ​​لون البشرة
🏄 ‍ ♂ ️,man_surfing,رجل يتزلج على الماء
🏄 🏿 ‍ ♂ ️,man_surfing_dark_skin_tone,رجل يتصفح لون البشرة الداكنة
🏄 🏻 ‍ ♂ ️,man_surfing_light_skin_tone,رجل تصفح لون البشرة الفاتح
🏄 🏾 ‍ ♂ ️,man_surfing_medium-dark_skin_tone,رجل يتزلج على الماء بلون بشرة متوسط ​​داكن
🏄 🏼 ‍ ♂ ️,man_surfing_medium-light_skin_tone,رجل يتصفح لون بشرة متوسط ​​فاتح
🏄 🏽 ‍ ♂ ️,man_surfing_medium_skin_tone,رجل يتصفح لون بشرة متوسط
🏊 ‍ ♂ ️,man_swimming,رجل يسبح
🏊 🏿 ‍ ♂ ️,man_swimming_dark_skin_tone,رجل يسبح بلون البشرة الداكنة
🏊 🏻 ‍ ♂ ️,man_swimming_light_skin_tone,رجل يسبح بلون البشرة الفاتح
🏊 🏾 ‍ ♂ ️,man_swimming_medium-dark_skin_tone,رجل يسبح بلون بشرة داكن متوسط
🏊 🏼 ‍ ♂ ️,man_swimming_medium-light_skin_tone,رجل يسبح متوسط ​​لون البشرة فاتح
🏊 🏽 ‍ ♂ ️,man_swimming_medium_skin_tone,رجل يسبح بلون بشرة متوسط
👨 ‍ 🏫,man_teacher,رجل مدرس
👨 🏿 ‍ 🏫,man_teacher_dark_skin_tone,المعلم الرجل لهجة البشرة الداكنة
👨 🏻 ‍ 🏫,man_teacher_light_skin_tone,المعلم الرجل ذو البشرة الفاتحة
👨 🏾 ‍ 🏫,man_teacher_medium-dark_skin_tone,معلم رجل متوسط ​​لون البشرة غامق
👨 🏼 ‍ 🏫,man_teacher_medium-light_skin_tone,المعلم الرجل متوسط ​​لون البشرة الفاتح
👨 🏽 ‍ 🏫,man_teacher_medium_skin_tone,المعلم الرجل متوسط ​​لون البشرة
👨 ‍ 💻,man_technologist,رجل تقني
👨 🏿 ‍ 💻,man_technologist_dark_skin_tone,رجل تقني لون البشرة الداكنة
👨 🏻 ‍ 💻,man_technologist_light_skin_tone,رجل تقني بشرة فاتحة اللون
👨 🏾 ‍ 💻,man_technologist_medium-dark_skin_tone,رجل تقني لون بشرة متوسط ​​الغامق
👨 🏼 ‍ 💻,man_technologist_medium-light_skin_tone,رجل تقني لون بشرة متوسط ​​فاتح
👨 🏽 ‍ 💻,man_technologist_medium_skin_tone,رجل تقني لون بشرة متوسط
💁 ‍ ♂ ️,man_tipping_hand,رجل يميل بيده
💁 🏿 ‍ ♂ ️,man_tipping_hand_dark_skin_tone,رجل يميل يده بلون البشرة الداكنة
💁 🏻 ‍ ♂ ️,man_tipping_hand_light_skin_tone,رجل يميل يده إلى لون البشرة الفاتح
💁 🏾 ‍ ♂ ️,man_tipping_hand_medium-dark_skin_tone,رجل يميل بيده إلى لون بشرة داكن متوسط
💁 🏼 ‍ ♂ ️,man_tipping_hand_medium-light_skin_tone,رجل يميل بيده إلى لون بشرة متوسط ​​فاتح
💁 🏽 ‍ ♂ ️,man_tipping_hand_medium_skin_tone,رجل يميل يده لون بشرة متوسط
🚶 ‍ ♂ ️,man_walking,رجل يمشي
🚶 🏿 ‍ ♂ ️,man_walking_dark_skin_tone,رجل يمشي بلون البشرة الداكنة
🚶 🏻 ‍ ♂ ️,man_walking_light_skin_tone,رجل يمشي بلون البشرة الفاتح
🚶 🏾 ‍ ♂ ️,man_walking_medium-dark_skin_tone,رجل يمشي بلون بشرة متوسط ​​داكن
🚶 🏼 ‍ ♂ ️,man_walking_medium-light_skin_tone,رجل يمشي بلون بشرة متوسط ​​فاتح
🚶 🏽 ‍ ♂ ️,man_walking_medium_skin_tone,رجل يمشي متوسط ​​لون البشرة
👳 ‍ ♂ ️,man_wearing_turban,رجل يرتدي عمامة
👳 🏿 ‍ ♂ ️,man_wearing_turban_dark_skin_tone,رجل يرتدي عمامة بلون البشرة الداكنة
👳 🏻 ‍ ♂ ️,man_wearing_turban_light_skin_tone,رجل يرتدي عمامة بلون البشرة الفاتح
👳 🏾 ‍ ♂ ️,man_wearing_turban_medium-dark_skin_tone,رجل يرتدي عمامة بلون بشرة داكن متوسط
👳 🏼 ‍ ♂ ️,man_wearing_turban_medium-light_skin_tone,رجل يرتدي عمامة بلون جلد فاتح متوسط
👳 🏽 ‍ ♂ ️,man_wearing_turban_medium_skin_tone,رجل يرتدي عمامة جلد متوسط ​​لهجة
👲,man_with_Chinese_cap,رجل ذو غطاء صيني
👲 🏿,man_with_Chinese_cap_dark_skin_tone,رجل ذو غطاء صيني بلون البشرة الداكن
👲 🏻,man_with_Chinese_cap_light_skin_tone,رجل ذو غطاء صيني بلون البشرة الفاتح
👲 🏾,man_with_Chinese_cap_medium-dark_skin_tone,رجل بقبعة صينية بلون بشرة داكن متوسط
👲 🏼,man_with_Chinese_cap_medium-light_skin_tone,رجل بقبعة صينية بلون بشرة فاتح متوسط
